119	
2.75	15.55
5.7	17.15
4.8	13.1
4.8	15.05
6.15	15
5.95	15.75
5.5	13.85
7.55	14.25
7.55	15.45
11.65	16.6
10.4	15.6
9.45	16.4
8.6	14.85
8.6	16.35
3.45	14.3
2.85	10.6
6.35	12.35
6.35	13.4
6.45	10.8
8.55	13.65
9.8	14.3
8.95	12.5
7.5	12.35
3.55	12.45
13.4	18.25
18.9	18.05
11.45	14.1
13.95	13.9
10.15	11.65
28.3	10.7
30.05	14
28.2	12.85
29.7	12.25
26.5	7.2
25.25	12.25
24.2	9.8
24.95	15.05
18.05	11.55
22.25	5.3
24.35	7.05
27.35	10.7
26.45	13.45
26.4	11.4
26.95	12.25
26.95	11.3
27.5	11.55
27.5	12.35
27	11.8
27.95	11.8
27.95	12.9
28.65	13.7
29.45	16.05
32.2	16.3
34.45	16.9
30.15	11.95
28.35	9.9
30.65	9.9
30.35	9.35
35.6	10.65
13.1	5.85
13	4.8
14.45	4.9
13.6	5.05
13.7	5.7
14.5	5.6
14.5	8.05
10.9	7.9
12.15	6.8
11.65	4.7
8.75	5.75
14.2	3.4
11.2	2.45
17.4	5.55
14.5	5.75
16.45	5.6
15.8	4.75
15.65	5.6
15.05	5.4
15.05	6.95
14	6.65
15.1	6.65
14.55	6.55
14.8	5.9
14	5.9
14	4.7
14.95	5.15
15.65	5.75
14.2	5.25
13.9	5.3
14.3	5.1
9.1	14.45
6.2	14.15
6.9	14.65
6.9	14.15
6.1	14.75
5.6	14.75
5.3	13.7
5.3	13.05
6.8	13.05
7.55	14.5
27.45	11.85
26.7	10.7
29	10.8
29	12.8
16.75	7.4
15.55	6.65
18.95	4.6
15.8	4.05
15.4	6
20.45	7.9
15.95	8.4
13.5	9.1
13.4	7.7
13.1	6.3
13.5	6.3
14.85	6.3
28.1	11.65
28.3	12.3
28.15	11.95
